Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Ta ai o que acho do Kalil! Errou e acertou muito, mas foi o maior da história! https://t.co/HYgEVKpylO",2020-10-30 18:56:46,pt,,0.0,0.0,,Gabriel Alves,Designer | Fotógrafo | Empreendedor Digital,307.0,12100.0,393.0,1998.0,7.0,False,,,@gwalves13
@uniaoimperialbr @skep2077 @bjdaglai mosso princesa nariz de telha era peão da corte porque será que ela assinou a Lei Áurea quando o papi não tava aqui?? ops,2020-10-30 18:55:53,pt,,0.0,0.0,@uniaoimperialbr,nathlicious,olhar de onça menina                        (ela/dela),1430.0,4708.0,313.0,96.0,0.0,False,,,@nathhraw
"@rodrigocapelo @RickMias @RodrigoRaynner @GuiLucas07 Veja abaixo quem é o maior doador da candidatura do JVX, candidato do Aécio e dos construtores que não querem a continuidade do Kalil na PBH.
Anote aí: com a reeleição do Kalil a grana dos mecenas vai sumir! https://t.co/7FlGYPiYRe",2020-10-30 18:55:33,pt,,0.0,0.0,@remuspjrr,Remus Jr - O corneta mais odiado está de volta!,"➡️Corneta 📢 Oficial do GALO 🐓 
➡️Torcedor do único time de MG na Série 🅰️
AQUI É GALO!!!!
➡️ #ForaSetteCâmara
➡️#Kalil55 PREFEITO!",285.0,57.0,182.0,25.0,0.0,False,,,@remuspjrr
@baudocectt @joaovitorxavier @portalR7 Junta ele e o Kalil kkkkk os 2 falaram isso,2020-10-30 18:55:32,pt,,0.0,0.0,@baudocectt,Bruno Costa,Sports enthusiast,11.0,5.0,6.0,2.0,0.0,False,,,@BrunoSoaresCos8
Vou ver a áurea de vcs https://t.co/L4TcytNxbb,2020-10-30 18:54:42,pt,,12.0,0.0,,🐞Zahir🐞,"❤️Previsões, tiragens, psicografia e conselhos ❤️- semi Hiatus e dons em desenvolvimento",2674.0,1622.0,341.0,893.0,15.0,False,,,@Zahir_Br
"@rodrigocapelo @RickMias @RodrigoRaynner @GuiLucas07 Capelo,  não existe projeto nenhum no Atlético. O dinheiro apareceu neste ano por uma simples razão: tirar voto atleticano do Kalil para tentar eleger o candidato dos construtores que perderam o cartel de corrupção na PBH. Entretanto,  Kalil vai levar no primeiro turno.",2020-10-30 18:53:49,pt,,0.0,0.0,@rodrigocapelo,Remus Jr - O corneta mais odiado está de volta!,"➡️Corneta 📢 Oficial do GALO 🐓 
➡️Torcedor do único time de MG na Série 🅰️
AQUI É GALO!!!!
➡️ #ForaSetteCâmara
➡️#Kalil55 PREFEITO!",285.0,57.0,182.0,25.0,0.0,False,,,@remuspjrr
"228° dia de quarentena

https://t.co/XJH17XJkNK",2020-10-30 18:51:04,pt,,0.0,0.0,,Negrisoli,"Jornalista pela UFMG, repórter de @otempo e sem graça. Alterno informação, ironia e piada besta. Interpretação de texto é por sua conta e risco. RT ≠ endosso",23187.0,22259.0,1893.0,4827.0,34.0,True,,,@lucasnegrisoli
"@baudocectt @juliahobl @joaovitorxavier @portalR7 JVX é meu penúltimo candidato, Kalil é o último. Num eventual segundo turno, voto no JVX só pra não ter que aturar mais um mandato dessa franga.",2020-10-30 18:50:56,pt,,0.0,0.0,@baudocectt,rapos@o deep webᶜᵉᶜ 🇮🇹,"Na A ou na B, sempre maior que você!",3228.0,34427.0,502.0,268.0,0.0,False,,,@raposaodeep
"ELEIÇÕES 2020 | Pesquisa Ibope/Belo Horizonte: Kalil lidera a disputa pela Prefeitura com 63% das intenções de voto — larga vantagem sobre os outros candidatos. João Vítor Xavier (Cid.) tem 8%; @AureaCarolinax (PSOL), 5% e Bruno Engler (PRTB), 3%. @NilmarioMiranda (PT) tem 2%.",2020-10-30 18:50:00,pt,,4.0,4.0,,Carta Maior,O portal da esquerda. Notícias do Brasil e do mundo com uma análise progressista.,64105.0,756.0,219.0,183363.0,1670.0,False,,,@cartamaior
"Daqui a pouco começamos mais uma live #Eleições2020 O entrevistado da vez é Bruno Engler, do PRTB. Fique ligado nas redes sociais do #DiáriodoComércio e acompanhe por aqui os melhores trechos da entrevista!",2020-10-30 18:49:51,pt,,2.0,0.0,,Diário do Comércio,"Único jornal especializado em Economia, Gestão e Negócios de Minas Gerais",33604.0,1959.0,1348.0,3431.0,113.0,False,,,@diario_comercio
@baudocectt @joaovitorxavier @portalR7 Voto dez mil vezes no JVX e nenhuma no Kalil ladrão safado.,2020-10-30 18:46:43,pt,,0.0,0.0,@baudocectt,rapos@o deep webᶜᵉᶜ 🇮🇹,"Na A ou na B, sempre maior que você!",3228.0,34427.0,502.0,268.0,0.0,False,,,@raposaodeep
